date,level_0,level_1,level_2,vote yes,vote no,chainlink,scalar,normalized_yes,normalized_no,yes_rolling,no_rolling,odds,odds_rolling
2017-08-20,2017,8,20,361,438,1158,24,177933.56671468075,217197.42381842656,181557.9827699845,222045.3804842488,0.4503153915480391,0.4762454134766361
2017-08-21,2017,8,21,729,908,1169,24,360011.2954379277,452359.11262535444,296706.42273947556,381566.9960094426,0.4431615084259488,0.49021156721824266
2017-08-22,2017,8,22,809,876,1192,24,424724.9081560822,458832.32295152155,437525.71369610715,482137.3890645675,0.48069880841069956,0.4857511923748718
2017-08-23,2017,8,23,1330,1065,1201,24,711303.0956113365,569439.8587846204,611346.6877535784,516447.1908656545,0.5553831806529921,0.5080057326819146
2017-08-24,2017,8,24,1447,1536,1249,24,781528.4193584486,829772.8659847255,858361.4806330011,784419.4009226685,0.4850293526526909,0.4996096666236255
2017-08-25,2017,8,25,621,886,1269,24,422090.18109087204,577209.3443176431,448888.2738201875,630670.5098937101,0.4223860517879471,0.4812299426665821
2017-08-26,2017,8,26,488,660,1288,24,319271.3969617354,436028.08238425665,330607.99493292294,474468.8470618863,0.42270835038598203,0.46566894912347145
2017-08-27,2017,8,27,229,347,1314,24,196747.0742350469,268453.3610589839,232107.10564024237,306620.001519902,0.4229296864494388,0.46175670553795717
2017-08-28,2017,8,28,245,258,1341,24,250612.44683828097,275090.9351742674,229997.41073753632,277658.6921535159,0.47671834614961434,0.4665505394984808
2017-08-29,2017,8,29,273,617,1370,24,364114.3944949864,822925.2066058852,309319.40167263325,481706.8943044172,0.3067415730337078,0.44169950587319623
2017-08-30,2017,8,30,399,1247,1384,24,521489.5933167271,1619525.4423308682,475826.4381369792,1715720.3478693054,0.24357119620086717,0.39715493666574986
2017-08-31,2017,8,31,351,729,1405,24,431681.8290032297,883531.944125974,485606.14840821363,1009716.3617556273,0.3282217977205005,0.3747538573897226
2017-09-01,2017,9,1,409,817,1430,24,397011.54522098793,769130.3232295221,400990.5037209665,723155.2696559093,0.3404487532451861,0.36304852902647106
2017-09-02,2017,9,2,339,845,1470,24,283755.8696323838,672208.365781696,326416.5573223016,762200.0897777023,0.2968268677012522,0.3450654600715097
2017-09-03,2017,9,3,382,684,1490,24,286925.01813671243,520006.6178421734,277464.4651289115,525789.1758267969,0.35557537385263716,0.3354434154148237
2017-09-04,2017,9,4,374,834,1517,24,258443.9651671601,569276.1431431129,275830.53656989645,560050.654284462,0.3122359389030111,0.31194592866530896
2017-09-05,2017,9,5,323,647,1522,24,221898.54892211908,444448.78058539884,214629.1740799536,482357.7937960123,0.33300733580806763,0.31569818049021753
2017-09-06,2017,9,6,369,437,1547,24,264120.16227661446,310009.30060351465,240486.16155026507,336497.10435366037,0.4600358966976746,0.3466217091326186
2017-09-07,2017,9,7,1072,1275,1571,24,798579.999419799,956973.0173527271,719774.5445127358,782811.3325221105,0.4548879992744042,0.36471688078317627
2017-09-08,2017,9,8,805,1029,1592,24,633137.0379174714,799113.5633853006,622671.2297382158,817266.452507601,0.4420574425603811,0.3792324078282041
2017-09-09,2017,9,9,835,1146,1618,24,703108.3599938925,975425.9281307042,686562.3583659261,977859.8701039748,0.418882333812475,0.39666890298695023
