date,chainlink,isPartial,no_rolling,normalized_no,normalized_yes,scalar,vote no,vote yes,yes_rolling
2017-07-30 04:00:00,28,False,1654.6882518423165,739.7714842464304,0.0,1,7,0,474.119234569974
2017-07-30 05:00:00,26,False,1009.8860928271515,0.0,0.0,1,0,0,474.119234569974
2017-07-30 06:00:00,24,False,1066.7804009755484,682.7316977807629,0.0,1,6,0,474.119234569974
2017-07-30 07:00:00,29,False,1242.91646865327,2113.6328121326583,0.0,1,20,0,474.119234569974
2017-07-30 08:00:00,26,False,1242.91646865327,0.0,682.7316977807629,1,0,6,531.013542718371
2017-07-30 09:00:00,26,False,901.5506197628885,0.0,0.0,1,0,0,189.64769382798954
2017-07-30 10:00:00,27,False,1062.7511595166798,1934.406477045495,0.0,1,17,0,189.64769382798954
2017-07-30 11:00:00,25,False,1176.5397758134736,1365.4633955615259,682.7316977807629,1,12,6,246.54200197638647
2017-07-30 12:00:00,24,False,1110.1630829736773,910.3089303743506,910.3089303743506,1,8,8,322.4010795075823
2017-07-30 13:00:00,28,False,1043.7863901338808,0.0,0.0,1,0,0,256.02438666778596
2017-07-30 14:00:00,26,False,977.4096972940846,2389.56094223267,0.0,1,21,0,189.64769382798957
2017-07-30 15:00:00,28,False,1214.542053737707,4438.628905478582,0.0,1,42,0,189.64769382798957
2017-07-30 16:00:00,26,False,1152.8944300505043,0.0,0.0,1,0,0,189.64769382798957
2017-07-30 17:00:00,25,False,1152.8944300505043,0.0,0.0,1,0,0,189.64769382798957
2017-07-30 18:00:00,29,False,1976.680460290715,10568.164060663292,0.0,1,100,0,189.64769382798957
2017-07-30 19:00:00,27,False,1800.5443926129935,0.0,0.0,1,0,0,189.64769382798957
2017-07-30 20:00:00,27,False,1800.5443926129935,0.0,0.0,1,0,0,132.75338567959267
2017-07-30 21:00:00,29,False,2188.043741503981,4649.9921866918485,0.0,1,44,0,132.75338567959267
2017-07-30 22:00:00,27,False,2188.043741503981,1934.406477045495,1934.406477045495,1,17,17,293.9539254333839
2017-07-30 23:00:00,29,False,2074.255125207187,0.0,634.0898436397974,1,0,6,289.9004375883035
2017-07-31 00:00:00,29,False,2095.270884898738,1162.4980466729621,634.0898436397974,1,11,6,266.88218036042406
2017-07-31 01:00:00,25,False,2190.094731812733,1137.8861629679382,0.0,1,10,0,266.88218036042406
2017-07-31 02:00:00,25,False,2123.7180389729365,1593.0406281551134,0.0,1,14,0,266.88218036042406
2017-07-31 03:00:00,25,False,1886.5856825293142,1593.0406281551134,568.9430814839691,1,14,5,314.2941038174215
2017-07-31 04:00:00,28,False,2106.7557671264663,2642.041015165823,2113.6328121326583,1,25,20,490.430171495143
2017-07-31 05:00:00,25,False,2296.4034609544556,2275.7723259358763,0.0,1,20,0,490.430171495143
2017-07-31 06:00:00,25,False,1463.1350460228452,568.9430814839691,568.9430814839691,1,5,5,537.8420949521404
2017-07-31 07:00:00,29,False,1612.8507035489085,1796.5878903127596,0.0,1,17,0,537.8420949521404
2017-07-31 08:00:00,29,False,1612.8507035489085,0.0,0.0,1,0,0,537.8420949521404
2017-07-31 09:00:00,27,False,1329.6575862633156,1251.674779264732,682.7316977807629,1,11,6,594.7364031005374
2017-07-31 10:00:00,29,False,1274.1386871161574,1268.1796872795949,634.0898436397974,1,12,6,486.3766836500625
2017-07-31 11:00:00,28,False,1274.1386871161574,0.0,634.0898436397974,1,0,6,486.3766836500625
2017-07-31 12:00:00,26,False,1253.1229274246064,910.3089303743506,0.0,1,8,0,433.53586334674605
2017-07-31 13:00:00,28,False,1272.7875245011307,1373.8613278862279,0.0,1,13,0,433.53586334674605
2017-07-31 14:00:00,30,False,1342.518481153115,2429.812107978927,0.0,1,23,0,433.53586334674605
2017-07-31 15:00:00,27,False,1209.7650954735225,0.0,0.0,1,0,0,386.12393988974867
2017-07-31 16:00:00,28,False,989.5950108763705,0.0,0.0,1,0,0,209.98787221202713
2017-07-31 17:00:00,26,False,1672.3267086571334,10468.552699305032,0.0,1,92,0,209.98787221202713
2017-07-31 18:00:00,26,False,2487.8117921174894,10354.764083008238,0.0,1,91,0,162.5759487550297
2017-07-31 19:00:00,29,False,2338.096134591426,0.0,0.0,1,0,0,162.5759487550297
2017-07-31 20:00:00,27,False,2338.096134591426,0.0,0.0,1,0,0,162.5759487550297
2017-07-31 21:00:00,29,False,2357.0851503604367,1479.5429684928608,0.0,1,14,0,105.6816406066328
2017-07-31 22:00:00,29,False,2251.4035097538035,0.0,0.0,1,0,0,52.84082030331634
2017-07-31 23:00:00,30,False,2471.49518620117,2641.1001173683994,1373.3720610315677,1,25,13,114.44767175263053
2017-08-01 00:00:00,29,False,2448.476928973291,634.0898436397974,1268.1796872795949,1,6,12,220.12931235926342
2017-08-01 01:00:00,31,False,2624.751790866196,3489.159670601096,0.0,1,39,0,220.12931235926342
